step,value,wall_time,elapsed_min
49,2.275847,1775331524,1.7
99,2.17426,1775331581,2.65
101,1.982135,1775331590,2.8
149,1.818487,1775331641,3.65
199,1.945919,1775331695,4.55
203,1.821284,1775331702,4.66
249,1.991639,1775331748,5.44
299,1.617898,1775331799,6.27
305,1.508572,1775331810,6.46
349,1.87364,1775331855,7.21
399,1.40561,1775331903,8.02
407,1.605441,1775331913,8.18
449,1.572704,1775331954,8.86
499,1.776344,1775332002,9.67
509,1.494218,1775332014,9.86
549,2.038491,1775332052,10.49
