step,elapsed_min,wall_time,epoch,loss_gen_all,loss_disc_all,val_loss
0,0.0,1775331422,,,,
49,1.7,1775331524,0.0,59.9837,2.2758,
99,2.65,1775331581,0.0,50.2381,2.1743,
101,2.8,1775331590,0.0,49.8491,1.9821,51.8312
149,3.65,1775331641,1.0,49.4811,1.8185,
199,4.55,1775331695,1.0,47.8652,1.9459,
203,4.66,1775331702,1.0,47.2879,1.8213,49.1091
249,5.44,1775331748,2.0,47.8133,1.9916,
299,6.27,1775331799,2.0,49.2986,1.6179,
305,6.46,1775331810,2.0,49.7422,1.5086,51.2507
349,7.21,1775331855,3.0,48.1057,1.8736,
399,8.02,1775331903,3.0,48.9044,1.4056,
407,8.18,1775331913,3.0,51.3951,1.6054,53.0005
449,8.86,1775331954,4.0,49.4698,1.5727,
499,9.67,1775332002,4.0,46.7908,1.7763,
509,9.86,1775332014,4.0,48.63,1.4942,50.1242
549,10.49,1775332052,5.0,45.2631,2.0385,
599,11.28,1775332099,5.0,44.8521,1.9168,
611,11.53,1775332114,5.0,44.5006,2.0793,46.5799
649,12.15,1775332151,6.0,43.8099,1.9795,
699,12.97,1775332200,6.0,45.8683,2.055,
713,13.23,1775332216,6.0,45.6586,2.1362,47.7948
749,13.81,1775332251,7.0,43.5115,2.2176,
799,14.6,1775332298,7.0,49.0824,1.4522,
815,14.9,1775332316,7.0,49.836,1.8872,51.7232
849,15.46,1775332350,8.0,46.3889,1.6784,
899,16.26,1775332398,8.0,42.9438,2.3884,
917,16.58,1775332417,8.0,43.4665,2.4571,45.9236
949,17.1,1775332448,9.0,41.9578,2.3905,
999,17.89,1775332495,9.0,44.761,1.8025,
1019,18.24,1775332516,9.0,43.9523,2.0464,45.9987
1049,18.76,1775332548,10.0,43.5218,1.7765,
1099,19.55,1775332595,10.0,43.0965,1.7719,
1121,19.97,1775332620,10.0,43.5021,2.0807,45.5828
1149,20.42,1775332647,11.0,41.6134,1.8687,
1199,21.22,1775332695,11.0,43.8338,1.8065,
1223,21.63,1775332720,11.0,44.1793,1.7097,45.889
